Country,Confirmed,Deaths,Recovered,Active,Continent,Region
South Africa,10015,194,4173,5648,Africa,AFRO
Egypt,9400,525,2075,6800,Africa,AFRO
Morocco,6063,188,2554,3321,Africa,AFRO
Algeria,5723,502,2678,2543,Africa,AFRO
Nigeria,4399,143,778,3478,Africa,AFRO
Ghana,4263,22,378,3863,Africa,AFRO
Cameroon,2579,114,1465,1000,Africa,AFRO
Guinea,2146,11,714,1421,Africa,AFRO
Senegal,1709,19,650,1040,Africa,AFRO
Djibouti,1210,3,847,360,Africa,AFRO
Sudan,1164,70,149,1146,Africa,AFRO
Somalia,1054,51,118,885,Africa,AFRO
Tunisia,1032,45,700,287,Africa,AFRO
Niger,821,46,624,151,Africa,AFRO
Burkina Faso,751,49,577,125,Africa,AFRO
Guinea-Bissau,726,3,26,697,Africa,AFRO
Mali,704,38,351,315,Africa,AFRO
Kenya,672,32,239,401,Africa,AFRO
Gabon,661,8,110,543,Africa,AFRO
Tanzania,509,21,183,305,Africa,AFRO
United States,1330610,79494,216169,1043141,North America,AMR
Brazil,162699,11123,64957,86619,South America,AMR
Canada,70091,5822,32109,32991,North America,AMR
Peru,67307,1889,21349,44069,South America,AMR
Mexico,35022,3465,21824,9733,North America,AMR
Ecuador,29559,2127,3433,23999,South America,AMR
Chile,28866,312,13112,15442,South America,AMR
Colombia,11063,463,2705,7895,South America,AMR
Dominican Republic,10347,388,2763,7196,North America,AMR
Panama,8448,244,4687,3517,North America,AMR
Argentina,6034,305,1757,3972,South America,AMR
Bolivia,2556,118,273,2165,South America,AMR
Honduras,1972,108,203,1661,North America,AMR
Cuba,1766,77,1193,496,North America,AMR
Guatemala,1052,26,110,916,North America,AMR
El Salvador,889,17,293,579,North America,AMR
Costa Rica,792,7,501,284,North America,AMR
Paraguay,713,10,165,538,South America,AMR
Uruguay,707,19,517,171,South America,AMR
Jamaica,502,9,90,403,North America,AMR
Spain,224350,26621,136166,61563,Europe,EURO
United Kingdom,220449,31930,1002,187517,Europe,EURO
Italy,219070,30560,105186,83324,Europe,EURO
Russia,209688,1915,34306,173467,Europe,EURO
France,178405,26383,56327,94384,Europe,EURO
Germany,171879,7569,144400,19910,Europe,EURO
Belgium,53081,8656,13642,30783,Europe,EURO
Netherlands,42826,5459,149,37218,Europe,EURO
Switzerland,30305,1833,26600,1872,Europe,EURO
Portugal,27581,1135,2549,23897,Europe,EURO
Sweden,26322,3225,4971,18126,Europe,EURO
Ireland,22996,1458,17110,4428,Europe,EURO
Belarus,22973,131,6406,16436,Europe,EURO
Poland,15996,800,5698,9498,Europe,EURO
Austria,15871,618,13991,1262,Europe,EURO
Romania,15362,961,7051,7350,Europe,EURO
Ukraine,15232,391,3060,11781,Europe,EURO
Denmark,10627,529,8415,1683,Europe,EURO
Serbia,10032,215,2732,7085,Europe,EURO
Czechia,8123,280,4474,3369,Europe,EURO
Turkey,138657,3786,92691,42180,Asia,OCEA
Iran,107603,6640,86143,14820,Asia,OCEA
China,84010,4637,79167,206,Asia,OCEA
India,67161,2212,20969,43980,Asia,OCEA
Saudi Arabia,39048,246,11457,27345,Asia,OCEA
Pakistan,30334,659,8063,21612,Asia,OCEA
Singapore,23336,20,2721,20595,Asia,OCEA
Qatar,22520,14,2753,19753,Asia,OCEA
United Arab Emirates,18198,198,4804,13196,Asia,OCEA
Israel,16388,255,11649,4795,Asia,OCEA
Japan,15777,624,8127,7026,Asia,OCEA
Bangladesh,14657,228,2650,11779,Asia,OCEA
Indonesia,14032,973,2698,10361,Asia,OCEA
Philippines,10794,719,1924,8151,Asia,OCEA
Kuwait,8688,58,2729,5901,Asia,OCEA
Australia,6948,97,6167,684,Oceania,OCEA
Malaysia,6656,108,5025,1523,Asia,OCEA
Kazakhstan,5090,31,1941,3118,Asia,OCEA
Bahrain,4941,8,2070,2863,Asia,OCEA
Afghanistan,4403,120,558,3724,Asia,OCEA
